# "Loading... ","加载中... "
"Quickstart guide","快速入门指南","b"
"Control panel","控制面板","b"
"Dwarf Fortress","矮人要塞","c"
"Histories of Greed and Tenacity","贪婪与韧性的编年史","c"
"Histories of Greed and Toil","贪婪与辛劳的编年史","c"
"Histories of Jealousy and Mettle","嫉妒与勇气的编年史","c"
"Histories of Avarice and Exertion","贪婪与努力的编年史","c"
"Histories of Gluttony and Diligence","暴食与勤奋的编年史","c"
"Histories of Gluttony and Exertion","暴食与努力的编年史","c"
"Histories of Avarice and Dynamism","贪婪与活力的编年史","c"
"Histories of Jealousy and Resourcefulness","嫉妒与智谋的编年史","c"
"Histories of Jealousy and Tenacity","嫉妒与韧性的编年史","c"
# "Virtual keyboard for typing with the mouse.",""
"World name","世界名称"
"Horizontal keyboard scroll tiles (fast)","水平键盘滚动图块(快速)"
"Vertical keyboard scroll tiles","垂直键盘滚动图块"
"Vertical keyboard scroll tiles (fast)","垂直键盘滚动图块(快速)"
"Horizontal keyboard scroll tiles (world, fast)","水平键盘滚动图块(世界,快速)"
"Vertical keyboard scroll tiles (world)","垂直键盘滚动图块(世界)"
"Charge","冲锋"
"Vertical keyboard scroll tiles (world, fast)","垂直键盘滚动图块(世界,快速)"
"Hotkey: Building, Cabinet","热键:建筑,柜子"
"General","常规"
# "Enter","进入"
"Hotkey: Building, Floodgate","热键:建筑,水闸"
"Add","添加"
"Fortress","要塞","c"
"Adventure","冒险","c"
"Adventurer","冒险者","c"
"Legends","传说","c"
"Back to title menu","返回到主菜单","c"
"Select a game type to begin!","选择一个游戏类型开始!","c"
"Numpad Enter","数字键盘回车"
"Building","建筑"
"Text entry","文本输入"
"Main menu","主菜单"
"Macros","宏"
"Deselect","取消选择"
"Close mega announcement","关闭巨型公告"
"Select all","全选"
"Leave screen","离开屏幕"
"Zoom In","放大"
"Leftbracket","左括号"
"Zoom Out","缩小"
"Rightbracket","右括号"
"Increase FPS limit","增加FPS限制"
"Change tab or highlight selection, secondary","更改选项卡或高亮选择,次要"
"Hotkey: Building, Armorstand","热键:建筑,武器架"
"Hotkey: Building, Chair","热键:建筑,椅子"
"Hotkey: Building, Coffin","热键:建筑,棺材"
"Hotkey: Building, Door","热键:建筑,门"
"Hotkey: Building, Hatch","热键:建筑,舱口"
"Hotkey: Building, Wall Grate","热键:建筑,墙格栅"
"Hotkey: Building, Floor Grate","热键:建筑,地板格栅"
"Recenter","重新居中"
"Hotkey: Building, Floor Bars","热键:建筑,地板栏杆"
"Hotkey: Building, Chest","热键:建筑,箱子"
"Hotkey: Building, Farm Plot","热键:建筑,农田"
"Hotkey: Building, Weaponrack","热键:建筑,武器架"
"Hotkey: Building, Statue","热键:建筑,雕像"
"Hotkey: Building, Table","热键:建筑,桌子"
"Hotkey: Building, Dirt Road","热键:建筑,土路"
"Parry","格挡"
"Hotkey: Building, Paved Road","热键:建筑,铺砌道路"
"All","全部"
"Name","名称"
"Popup","弹出窗口"
"Pause","暂停","c"
"Adv","冒险"
"Fort","要塞"
"Report","报告"
"Alert","警报"
"(Active)","(激活)"
"Weapon twist","武器扭转"
"Other","其他"
"Report (Active)","报告(激活)"
"Surprised","惊讶"
"Jump-dodge (proj)","跳跃闪避(投射)"
"Jump-dodge (strike)","跳跃闪避(打击)"
"Dodge","闪避"
"Tangle","混乱"
"Tangle/tumble","纠缠/混乱"
"Counterstrike","反击"
"Block","格挡"
"(Charge) Collision","(冲锋) 碰撞"
"(Charge) (D) Tumble","(冲锋) (D)跌倒"
"(Charge) (D) Knocked over","(冲锋) (D)击倒"
"(Charge) (A) Tumble","(冲锋) (A)跌倒"
"(Charge) (A) Bounced back","（冲锋）(A)反弹"
"(Wrestle) Joint lock","(摔跤)关节锁"
"(Wrestle) Chokehold","(摔跤)锁喉"
"(Wrestle) Takedown","(摔跤)抱腿摔"
"(Wrestle) Throw","(摔跤)过肩摔"
"(Wrestle) Release lock","(摔跤)松开关节锁"
"(Wrestle) Release choke","(摔跤)松开锁喉"
"(Wrestle) Release","(摔跤)松开"
"(Wrestle) Struggle","(摔跤)扭打"
"(Wrestle) Latch on","(摔跤)缠打"
"(Wrestle) Strangle","(摔跤)扼杀技"
"(Wrestle) Adjust grip","(摔跤)调整抓握点"
"(Wrestle) Part ripped away","(摔跤)部件被扯下"
"Minimum Final Desert Region Count","最终沙漠区域的最小数量"
"Minimum Initial Forest Square Count","初始森林格子的最小数量"
"Minimum Initial Forest Region Count","初始森林区域的最小数量"
"Minimum Final Forest Region Count","最终森林区域的最小数量"
"Minimum Initial Mountains Square Count","初始山脉格子的最小数量"
"Minimum Initial Mountains Region Count","初始山脉区域的最小数量"
"Minimum Final Mountains Region Count","最终山脉区域的最小数量"
"Minimum Initial Ocean Square Count","初始海洋格子的最小数量"
"Minimum Initial Ocean Region Count","初始海洋区域的最小数量"
"Minimum Final Ocean Region Count","最终海洋区域的最小数量"
"Minimum Initial Glacier Square Count","初始冰川格子的最小数量"
"Minimum Initial Glacier Region Count","初始冰川区域的最小数量"
"Prepare to guide your stout charges to fortune in a world fraught with many perils. You'll begin by creating your world and watching the region's history unfold. Once this process is complete, you can prepare a group and send them out to seek wealth deep in the mountains. As you dig deeper and more citizens take up residence in your outpost, your doings will attract attention, both wanted and unwanted. Deal with challenges as they arise, and you might one day find that your humble settlement has grown to become a Mountainhome, the center of your civilization.","准备引导你勇敢的子民在一个充满危险的世界中寻求财富.\n你将从创建你的世界开始,观察该地区的历史展开.\n一旦这个过程完成,你可以准备一支队伍并派遣他们深入大山寻找财富.\n随着你挖掘得越深,更多的居民在你的前哨站定居,\n你的行为将吸引注意力,既有想要的也有不想要的.\n应对出现的挑战,有一天你可能会发现你简陋的定居点已经成长为山之心,\n你文明的中心.","s"
"Okay","确定","c"
"Don't show again","不再显示"
"In the early spring of 0, the dwarf Catten Glenmansions's tongue was torn off by the goblin Ber Scorpiondisgust.","在{d}年的早春,矮人卡滕·格伦大厦的舌头被地精伯·蝎子厌恶撕掉了."
"Finalizing civ mats... (0/0)","完成文明材料...({d}/{d})"
"Loading data needed to create new world","加载创建新世界所需的数据"
"Loading object files...","加载对象文件..."
"Loading items...","加载物品......"
"Loading buildings...","装载建筑物......"
"Loading entities...","加载实体......"
"Loading coin information...","加载硬币信息......"
"Loading map data...","加载地图数据......"
"Loading civilized populations...","加载文明人口......"
"Loading history...","载入历史..."
"Loading parameters...","加载参数......"
"Loading artifacts...","加载工件......"
"Loading active historical figures...","载入活跃的历史人物......"
"Loading squads...","加载小队......"
"Loading formations...","装载编队......"
"Loading activities...","加载活动......"
"Loading interactions...","加载互动......"
"Loading written content...","加载书面内容......"
"Loading identities...","加载身份......"
"Loading incidents...","加载事件......"
"Loading crimes...","载入罪行......"
"Loading vehicles...","装车......"
"Loading armies...","装载军队......"
"Loading army controllers...","加载军队管制员......"
"Loading tracking information...","加载跟踪信息......"
"Loading cultural identities...","加载文化身份......"
"Loading agreements...","装货协议......"
"Loading art forms...","载入美术形式..."
"Loading occupations...","装载职业......"
"Loading belief systems...","加载信仰系统......"
"Loading image sets...","正在载入图形集..."
"Loading divination sets...","加载预言集"
"Rebuilding temporary information...","重建临时信息......"
"Preparing game...","准备游戏......"
"Failed!","失败!"
"Loading units...","装载单位......"
"Loading jobs...","加载工作......"
"Loading schedules...","正在加载时间表......"
"Loading projectiles...","装载射弹......"
"Loading machines...","装机......"
"Loading flow guides...","加载流量指南......"
"Loading effects...","加载效果......"
"Loading local animal populations...","加载当地动物种群......"
"Loading events...","加载活动......"
"Loading mandates...","加载任务......"
"Loading work quotas...","加载工作配额......"
"Loading world events...","加载世界事件......"
"Loading announcements...","加载公告......"
"Loading fortress information...","加载堡垒信息......"
"Loading world information...","加载世界信息......"
"Loading adventure...","加载冒险......"
"Loading general information...","加载一般信息......"
"Initializing music load...","初始化音乐加载..."
"Vanilla Text","原版文本"
"Vanilla Languages","原版语言"
"Brook: The Problematic Hedge","溪流:有问题的树篱"
"Brook: Giftwinnow","溪流:礼物筛选"
"Vanilla Descriptors","原版描述符"
"Vanilla Materials","原版材料"
